------Generation 0------
Rule  1: 50e00000002008000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 080000004000000000, Class:  1, CF:0.280445, Len:  2, Fitness_tra: -10
Rule 20: 000000000000050800, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 21: 000000000600000002, Class:  1, CF:0.124895, Len:  2, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 23: 8112b2c148c2557174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 91324211115d5151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2d14b221c1121c2182, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 29: 00000c004040009c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 32: 5111175c5515122831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 133744cd25c22c2182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 96f14117339aa11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5258141521c4141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 581821111212812261, Class:  0, CF:0.701495, Len: 18, Fitness_tra: 0
Rule 37: 000000005000000000, Class:  1, CF:0.0954295, Len:  1, Fitness_tra: 0
Rule 38: 8511211525845111c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 39: 2811221d1821881144, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 43: 03f000000000000000, Class:  1, CF:0.226577, Len:  2, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000700, Class:  0, CF:0.0700631, Len:  1, Fitness_tra: 0
Rule 46: c85217c1c844524281, Class:  1, CF:0.319916, Len: 18, Fitness_tra: 0
Rule 47: 82c44b2111212c5121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 48: 0000000005000c0020, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 49: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 52: 00000000060000d002, Class:  1, CF:0.026459, Len:  3, Fitness_tra: 0
Rule 53: 3311113b3131112514, Class:  1, CF:0.344866, Len: 18, Fitness_tra: 0
Rule 54: 0000b0000000000000, Class:  1, CF:0.00772525, Len:  1, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 56: 5c58172515c21212e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000030000c8002, Class:  1, CF:0.229536, Len:  4, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 60: 0000000be00e000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 62: 591182c54311dc22c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 288417194241822117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 82c414812541581441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 12527213782b221111, Class:  1, CF:0.296389, Len: 18, Fitness_tra: 0
Rule 66: 581247c1412481c822, Class:  1, CF:0.471906, Len: 18, Fitness_tra: 0
Rule 67: 0c0000000000000000, Class:  0, CF:0.258454, Len:  1, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 69: 0700000004b040e000, Class:  0, CF:0.655814, Len:  5, Fitness_tra: 0
Rule 70: 500040000000000002, Class:  1, CF:0.596658, Len:  3, Fitness_tra: 0
Rule 71: e00000000020e00000, Class:  0, CF:0.681291, Len:  3, Fitness_tra: 0
Rule 72: 0000000cd00d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 74: 00000c0040400b000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000005000000000, Class:  1, CF:0.0954295, Len:  1, Fitness_tra: 0
Rule 76: 511517554421124131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000002, Class:  1, CF:0.101023, Len:  1, Fitness_tra: 0
Rule 78: 525112211142221411, Class:  1, CF:0.312282, Len: 18, Fitness_tra: 0
Rule 79: 000000000b00000000, Class:  0, CF:0.098611, Len:  1, Fitness_tra: 0
Rule 80: 0000000e0000000000, Class:  0, CF:0.0752334, Len:  1, Fitness_tra: 0
Rule 81: 00000000000000c000, Class:  1, CF:0.0432078, Len:  1, Fitness_tra: 0
Rule 82: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 83: 000000000b00000000, Class:  0, CF:0.098611, Len:  0, Fitness_tra: 0
Rule 84: 000000000000005000, Class:  1, CF:0.466701, Len:  1, Fitness_tra: -1
Rule 85: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 87: 589182822218111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 90: 00d000000000000000, Class:  1, CF:0.184219, Len:  1, Fitness_tra: -17
Rule 91: 000000004000000000, Class:  1, CF:0.164467, Len:  1, Fitness_tra: -16
Rule 92: 00000000000000000a, Class:  0, CF:0.411113, Len:  0, Fitness_tra: 0
Rule 93: 800004010000501401, Class:  1, CF:0.184804, Len:  7, Fitness_tra: 0
Rule 94: 53f0020d0913122b88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: a00000053d00000002, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 0009000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000004, Class:  1, CF:0.0283004, Len:  1, Fitness_tra: 0
Rule 98: 08004000402c810800, Class:  1, CF:0.561301, Len:  8, Fitness_tra: 0
Rule 99: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule100: 8012bc0146c4509100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:30.7087
------Result------
Miss_rate(tra)	:30.7087
Miss_rate(tst)	:33.3333
ARL				:4.93151

------Generation 9------
Rule  1: 0c0000000000000000, Class:  0, CF:0.258454, Len:  1, Fitness_tra: 118
Rule  2: 000000000000000003, Class:  0, CF:0.335559, Len:  1, Fitness_tra: 56
Rule  3: 0000000000b0000000, Class:  0, CF:0.176702, Len:  1, Fitness_tra: 70
Rule  4: 00000000000000000a, Class:  0, CF:0.411113, Len:  1, Fitness_tra: 47
Rule  5: 000000003000000002, Class:  0, CF:0.205958, Len:  2, Fitness_tra: 30
Rule  6: 000000050000000000, Class:  0, CF:0.193295, Len:  1, Fitness_tra: 5
Rule  7: 000000000000080004, Class:  0, CF:0.94214, Len:  2, Fitness_tra: 4
Rule  8: d00070000000000000, Class:  1, CF:0.428278, Len:  2, Fitness_tra: 6
Rule  9: 000000000b00000000, Class:  0, CF:0.098611, Len:  1, Fitness_tra: 0
Rule 10: 008080004000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 11: 000000000d000c0030, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 12: 50e00000002008000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111422151581581112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 000000000000085000, Class:  1, CF:0.62488, Len:  2, Fitness_tra: 0
Rule 15: 2d5131814154511211, Class:  0, CF:0.55491, Len: 18, Fitness_tra: 0
Rule 16: 112c4711b822872255, Class:  0, CF:0.261723, Len: 18, Fitness_tra: 0
Rule 17: 0000000000000000d0, Class:  0, CF:0.0825001, Len:  1, Fitness_tra: 0
Rule 18: c152772321115c1524, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 080000004000000000, Class:  1, CF:0.280445, Len:  2, Fitness_tra: -10
Rule 20: 000000000000050800, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 21: 000000000600000002, Class:  1, CF:0.124895, Len:  2, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 23: 8112b2c148c2557174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 91324211115d5151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2d14b221c1121c2182, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 29: 00000c004040009c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 32: 5111175c5515122831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 133744cd25c22c2182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 96f14117339aa11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5258141521c4141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 581821111212812261, Class:  0, CF:0.701495, Len: 18, Fitness_tra: 0
Rule 37: 000000005000000000, Class:  1, CF:0.0954295, Len:  1, Fitness_tra: 0
Rule 38: 8511211525845111c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 39: 2811221d1821881144, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 43: 03f000000000000000, Class:  1, CF:0.226577, Len:  2, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000700, Class:  0, CF:0.0700631, Len:  1, Fitness_tra: 0
Rule 46: c85217c1c844524281, Class:  1, CF:0.319916, Len: 18, Fitness_tra: 0
Rule 47: 82c44b2111212c5121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 48: 0000000005000c0020, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 49: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 52: 00000000060000d002, Class:  1, CF:0.026459, Len:  3, Fitness_tra: 0
Rule 53: 3311113b3131112514, Class:  1, CF:0.344866, Len: 18, Fitness_tra: 0
Rule 54: 0000b0000000000000, Class:  1, CF:0.00772525, Len:  1, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 56: 5c58172515c21212e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000030000c8002, Class:  1, CF:0.229536, Len:  4, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 60: 0000000be00e000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 62: 591182c54311dc22c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 288417194241822117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 82c414812541581441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 12527213782b221111, Class:  1, CF:0.296389, Len: 18, Fitness_tra: 0
Rule 66: 581247c1412481c822, Class:  1, CF:0.471906, Len: 18, Fitness_tra: 0
Rule 67: 0c0000000000000000, Class:  0, CF:0.258454, Len:  1, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 69: 0700000004b040e000, Class:  0, CF:0.655814, Len:  5, Fitness_tra: 0
Rule 70: 500040000000000002, Class:  1, CF:0.596658, Len:  3, Fitness_tra: 0
Rule 71: e00000000020e00000, Class:  0, CF:0.681291, Len:  3, Fitness_tra: 0
Rule 72: 0000000cd00d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 74: 00000c0040400b000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000005000000000, Class:  1, CF:0.0954295, Len:  1, Fitness_tra: 0
Rule 76: 511517554421124131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000002, Class:  1, CF:0.101023, Len:  1, Fitness_tra: 0
Rule 78: 525112211142221411, Class:  1, CF:0.312282, Len: 18, Fitness_tra: 0
Rule 79: 000000000b00000000, Class:  0, CF:0.098611, Len:  1, Fitness_tra: 0
Rule 80: 0000000e0000000000, Class:  0, CF:0.0752334, Len:  1, Fitness_tra: 0
Rule 81: 00000000000000c000, Class:  1, CF:0.0432078, Len:  1, Fitness_tra: 0
Rule 82: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 83: 000000000b00000000, Class:  0, CF:0.098611, Len:  0, Fitness_tra: 0
Rule 84: 000000000000005000, Class:  1, CF:0.466701, Len:  1, Fitness_tra: -1
Rule 85: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 87: 589182822218111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 90: 00d000000000000000, Class:  1, CF:0.184219, Len:  1, Fitness_tra: -17
Rule 91: 000000004000000000, Class:  1, CF:0.164467, Len:  1, Fitness_tra: -16
Rule 92: 00000000000000000a, Class:  0, CF:0.411113, Len:  0, Fitness_tra: 0
Rule 93: 800004010000501401, Class:  1, CF:0.184804, Len:  7, Fitness_tra: 0
Rule 94: 53f0020d0913122b88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: a00000053d00000002, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 0009000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000004, Class:  1, CF:0.0283004, Len:  1, Fitness_tra: 0
Rule 98: 08004000402c810800, Class:  1, CF:0.561301, Len:  8, Fitness_tra: 0
Rule 99: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule100: 8012bc0146c4509100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:30.7087
------Result------
Miss_rate(tra)	:30.7087
Miss_rate(tst)	:33.3333
ARL				:4.93151

------Generation 10------
Rule  1: 0c0000000000000000, Class:  0, CF:0.258454, Len:  1, Fitness_tra: 118
Rule  2: 000000000000000003, Class:  0, CF:0.335559, Len:  1, Fitness_tra: 56
Rule  3: 0000000000b0000000, Class:  0, CF:0.176702, Len:  1, Fitness_tra: 70
Rule  4: 00000000000000000a, Class:  0, CF:0.411113, Len:  1, Fitness_tra: 47
Rule  5: 000000003000000002, Class:  0, CF:0.205958, Len:  2, Fitness_tra: 30
Rule  6: 000000050000000000, Class:  0, CF:0.193295, Len:  1, Fitness_tra: 5
Rule  7: 000000000000080004, Class:  0, CF:0.94214, Len:  2, Fitness_tra: 4
Rule  8: d00070000000000000, Class:  1, CF:0.428278, Len:  2, Fitness_tra: 6
Rule  9: 000000000b00000000, Class:  0, CF:0.098611, Len:  1, Fitness_tra: 0
Rule 10: 008080004000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 11: 000000000d000c0030, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 12: 50e00000002008000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111422151581581112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 000000000000085000, Class:  1, CF:0.62488, Len:  2, Fitness_tra: 0
Rule 15: 2d5131814154511211, Class:  0, CF:0.55491, Len: 18, Fitness_tra: 0
Rule 16: 112c4711b822872255, Class:  0, CF:0.261723, Len: 18, Fitness_tra: 0
Rule 17: 0000000000000000d0, Class:  0, CF:0.0825001, Len:  1, Fitness_tra: 0
Rule 18: c152772321115c1524, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 080000004000000000, Class:  1, CF:0.280445, Len:  2, Fitness_tra: -10
Rule 20: 000000000000050800, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 21: 000000000600000002, Class:  1, CF:0.124895, Len:  2, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 23: 8112b2c148c2557174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 91324211115d5151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2d14b221c1121c2182, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 29: 00000c004040009c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 32: 5111175c5515122831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 133744cd25c22c2182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 96f14117339aa11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5258141521c4141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 581821111212812261, Class:  0, CF:0.701495, Len: 18, Fitness_tra: 0
Rule 37: 000000005000000000, Class:  1, CF:0.0954295, Len:  1, Fitness_tra: 0
Rule 38: 8511211525845111c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 39: 2811221d1821881144, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 43: 03f000000000000000, Class:  1, CF:0.226577, Len:  2, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000700, Class:  0, CF:0.0700631, Len:  1, Fitness_tra: 0
Rule 46: c85217c1c844524281, Class:  1, CF:0.319916, Len: 18, Fitness_tra: 0
Rule 47: 82c44b2111212c5121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 48: 0000000005000c0020, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 49: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 52: 00000000060000d002, Class:  1, CF:0.026459, Len:  3, Fitness_tra: 0
Rule 53: 3311113b3131112514, Class:  1, CF:0.344866, Len: 18, Fitness_tra: 0
Rule 54: 0000b0000000000000, Class:  1, CF:0.00772525, Len:  1, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 56: 5c58172515c21212e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000030000c8002, Class:  1, CF:0.229536, Len:  4, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 60: 0000000be00e000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 62: 591182c54311dc22c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 288417194241822117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 82c414812541581441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 12527213782b221111, Class:  1, CF:0.296389, Len: 18, Fitness_tra: 0
Rule 66: 581247c1412481c822, Class:  1, CF:0.471906, Len: 18, Fitness_tra: 0
Rule 67: 0c0000000000000000, Class:  0, CF:0.258454, Len:  1, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 69: 0700000004b040e000, Class:  0, CF:0.655814, Len:  5, Fitness_tra: 0
Rule 70: 500040000000000002, Class:  1, CF:0.596658, Len:  3, Fitness_tra: 0
Rule 71: e00000000020e00000, Class:  0, CF:0.681291, Len:  3, Fitness_tra: 0
Rule 72: 0000000cd00d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 74: 00000c0040400b000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000005000000000, Class:  1, CF:0.0954295, Len:  1, Fitness_tra: 0
Rule 76: 511517554421124131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000002, Class:  1, CF:0.101023, Len:  1, Fitness_tra: 0
Rule 78: 525112211142221411, Class:  1, CF:0.312282, Len: 18, Fitness_tra: 0
Rule 79: 000000000b00000000, Class:  0, CF:0.098611, Len:  1, Fitness_tra: 0
Rule 80: 0000000e0000000000, Class:  0, CF:0.0752334, Len:  1, Fitness_tra: 0
Rule 81: 00000000000000c000, Class:  1, CF:0.0432078, Len:  1, Fitness_tra: 0
Rule 82: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 83: 000000000b00000000, Class:  0, CF:0.098611, Len:  0, Fitness_tra: 0
Rule 84: 000000000000005000, Class:  1, CF:0.466701, Len:  1, Fitness_tra: -1
Rule 85: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 87: 589182822218111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 90: 00d000000000000000, Class:  1, CF:0.184219, Len:  1, Fitness_tra: -17
Rule 91: 000000004000000000, Class:  1, CF:0.164467, Len:  1, Fitness_tra: -16
Rule 92: 00000000000000000a, Class:  0, CF:0.411113, Len:  0, Fitness_tra: 0
Rule 93: 800004010000501401, Class:  1, CF:0.184804, Len:  7, Fitness_tra: 0
Rule 94: 53f0020d0913122b88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: a00000053d00000002, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 0009000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000004, Class:  1, CF:0.0283004, Len:  1, Fitness_tra: 0
Rule 98: 08004000402c810800, Class:  1, CF:0.561301, Len:  8, Fitness_tra: 0
Rule 99: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule100: 8012bc0146c4509100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:30.7087
------Result------
Miss_rate(tra)	:30.7087
Miss_rate(tst)	:33.3333
ARL				:4.93151

------Generation 20------
Rule  1: 0c0000000000000000, Class:  0, CF:0.258454, Len:  1, Fitness_tra: 116
Rule  2: 0000000000b0000000, Class:  0, CF:0.176702, Len:  1, Fitness_tra: 58
Rule  3: 000000000000000003, Class:  0, CF:0.335559, Len:  1, Fitness_tra: 52
Rule  4: 00000000000000000a, Class:  0, CF:0.411113, Len:  1, Fitness_tra: 44
Rule  5: 000000003000000002, Class:  0, CF:0.205958, Len:  2, Fitness_tra: 22
Rule  6: d00070000000000000, Class:  1, CF:0.428278, Len:  2, Fitness_tra: 0
Rule  7: 000000050000000000, Class:  0, CF:0.193295, Len:  1, Fitness_tra: 4
Rule  8: 000000000000080004, Class:  0, CF:0.94214, Len:  2, Fitness_tra: 4
Rule  9: 000000000d000c0030, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 10: 008080004000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 11: 000000000b00000000, Class:  0, CF:0.098611, Len:  1, Fitness_tra: 0
Rule 12: 50e00000002008000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111422151581581112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 000000000000085000, Class:  1, CF:0.62488, Len:  2, Fitness_tra: 0
