------Generation 0------
Rule  1: 83171, Class:  0, CF:0.872545, Len:  5, Fitness_tra: 56
Rule 30: 5e247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 1317b, Class:  0, CF:0.897024, Len:  5, Fitness_tra: 0
Rule 32: 91c22, Class:  1, CF:0.669296, Len:  5, Fitness_tra: 0
Rule 33: 3722d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51222, Class:  0, CF:0.974082, Len:  5, Fitness_tra: 0
Rule 35: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 0
Rule 36: 63521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3d421, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 91422, Class:  0, CF:0.987528, Len:  5, Fitness_tra: 0
Rule 39: 124c1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 11711, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 98272, Class:  1, CF:0.417171, Len:  5, Fitness_tra: 0
Rule 42: 11722, Class:  0, CF:0.912589, Len:  5, Fitness_tra: 0
Rule 43: 14221, Class:  1, CF:0.0871377, Len:  5, Fitness_tra: 0
Rule 44: 91278, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: c9824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 52121, Class:  0, CF:0.546518, Len:  5, Fitness_tra: 0
Rule 47: 29d7b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: d5544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 1c7b8, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 19114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 34442, Class:  1, CF:0.232072, Len:  5, Fitness_tra: 0
Rule 53: 3d41b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 1c212, Class:  2, CF:0.284813, Len:  5, Fitness_tra: 0
Rule 55: 11252, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 39222, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 13942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1c127, Class:  2, CF:0.778582, Len:  5, Fitness_tra: 0
Rule 59: 51274, Class:  0, CF:0.956875, Len:  5, Fitness_tra: 0
Rule 60: 37222, Class:  2, CF:0.0595436, Len:  5, Fitness_tra: 0
Rule 61: 8241b, Class:  2, CF:0.150771, Len:  5, Fitness_tra: 0
Rule 62: 31483, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 9bb85, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: 32214, Class:  1, CF:0.868939, Len:  5, Fitness_tra: 0
Rule 66: 15442, Class:  1, CF:0.964064, Len:  5, Fitness_tra: 0
Rule 67: dc7b4, Class:  2, CF:0.81573, Len:  5, Fitness_tra: 0
Rule 68: 23e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 95127, Class:  1, CF:0.988724, Len:  5, Fitness_tra: 0
Rule 70: 1ec44, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 19512, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 121cb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: 11c21, Class:  1, CF:0.953908, Len:  5, Fitness_tra: 0
Rule 74: 581b2, Class:  2, CF:0.508329, Len:  5, Fitness_tra: 0
Rule 75: 11241, Class:  0, CF:0.0430286, Len:  5, Fitness_tra: 0
Rule 76: 16511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 51241, Class:  0, CF:0.786033, Len:  5, Fitness_tra: 0
Rule 78: 52141, Class:  0, CF:0.534769, Len:  5, Fitness_tra: 0
Rule 79: 11781, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 32b14, Class:  1, CF:0.197719, Len:  5, Fitness_tra: 0
Rule 81: 98141, Class:  1, CF:0.598387, Len:  5, Fitness_tra: 0
Rule 82: 11812, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: c31b7, Class:  0, CF:0.762913, Len:  5, Fitness_tra: 1
Rule 84: d14b4, Class:  0, CF:0.939524, Len:  5, Fitness_tra: 4
Rule 85: 2a574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: d5114, Class:  1, CF:0.663174, Len:  5, Fitness_tra: 0
Rule 87: 1d441, Class:  1, CF:0.982657, Len:  5, Fitness_tra: 0
Rule 88: 2191b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 89: 11144, Class:  0, CF:0.921003, Len:  5, Fitness_tra: 1
Rule 90: 98124, Class:  2, CF:0.00157419, Len:  5, Fitness_tra: 0
Rule 91: 32a61, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 8317b, Class:  0, CF:0.942988, Len:  5, Fitness_tra: 2
Rule 93: 11c21, Class:  1, CF:0.953908, Len:  0, Fitness_tra: 0
Rule 94: 811b1, Class:  0, CF:0.693523, Len:  5, Fitness_tra: -23
Rule 95: d5544, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 96: 5511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 39668, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5171b, Class:  0, CF:0.432818, Len:  5, Fitness_tra: -1
Rule 99: dccb1, Class:  1, CF:0.795093, Len:  5, Fitness_tra: 0
Rule100: 4b526, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.7654
------Result------
Miss_rate(tra)	:58.7654
Miss_rate(tst)	:71.4286
ARL				:4.95181

------Generation 9------
Rule  1: 83171, Class:  0, CF:0.872545, Len:  5, Fitness_tra: 16
Rule  2: 28411, Class:  1, CF:0.764785, Len:  5, Fitness_tra: 34
Rule  3: 811b7, Class:  0, CF:0.907939, Len:  5, Fitness_tra: 32
Rule  4: 32711, Class:  1, CF:0.919233, Len:  5, Fitness_tra: 21
Rule  5: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 16
Rule  6: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 14
Rule  7: c3112, Class:  0, CF:0.535231, Len:  5, Fitness_tra: 6
Rule  8: 111b4, Class:  0, CF:0.892082, Len:  5, Fitness_tra: 1
Rule  9: 51122, Class:  0, CF:0.98818, Len:  5, Fitness_tra: 5
Rule 10: 5171c, Class:  0, CF:0.998413, Len:  5, Fitness_tra: 2
Rule 11: 41127, Class:  0, CF:0.915077, Len:  5, Fitness_tra: 3
Rule 12: 141b2, Class:  0, CF:0.805284, Len:  5, Fitness_tra: 1
Rule 13: 11344, Class:  0, CF:0.929306, Len:  5, Fitness_tra: 0
Rule 14: 52b41, Class:  0, CF:0.248656, Len:  5, Fitness_tra: 0
Rule 15: de2b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 11827, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 15127, Class:  1, CF:0.864911, Len:  5, Fitness_tra: 0
Rule 18: 321b4, Class:  1, CF:0.0283128, Len:  5, Fitness_tra: 0
Rule 19: 5d11b, Class:  1, CF:0.711746, Len:  5, Fitness_tra: 0
Rule 20: e4721, Class:  0, CF:0.579263, Len:  5, Fitness_tra: 0
Rule 21: 73112, Class:  0, CF:0.236917, Len:  5, Fitness_tra: 0
Rule 22: 18c2b, Class:  1, CF:0.970051, Len:  5, Fitness_tra: 0
Rule 23: 11374, Class:  0, CF:0.919648, Len:  5, Fitness_tra: 0
Rule 24: 35c4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: c3842, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 18814, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 31718, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 11111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 155b4, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 5e247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 1317b, Class:  0, CF:0.897024, Len:  5, Fitness_tra: 0
Rule 32: 91c22, Class:  1, CF:0.669296, Len:  5, Fitness_tra: 0
Rule 33: 3722d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51222, Class:  0, CF:0.974082, Len:  5, Fitness_tra: 0
Rule 35: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 0
Rule 36: 63521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3d421, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 91422, Class:  0, CF:0.987528, Len:  5, Fitness_tra: 0
Rule 39: 124c1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 11711, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 98272, Class:  1, CF:0.417171, Len:  5, Fitness_tra: 0
Rule 42: 11722, Class:  0, CF:0.912589, Len:  5, Fitness_tra: 0
Rule 43: 14221, Class:  1, CF:0.0871377, Len:  5, Fitness_tra: 0
Rule 44: 91278, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: c9824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 52121, Class:  0, CF:0.546518, Len:  5, Fitness_tra: 0
Rule 47: 29d7b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: d5544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 1c7b8, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 19114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 34442, Class:  1, CF:0.232072, Len:  5, Fitness_tra: 0
Rule 53: 3d41b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 1c212, Class:  2, CF:0.284813, Len:  5, Fitness_tra: 0
Rule 55: 11252, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 39222, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 13942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1c127, Class:  2, CF:0.778582, Len:  5, Fitness_tra: 0
Rule 59: 51274, Class:  0, CF:0.956875, Len:  5, Fitness_tra: 0
Rule 60: 37222, Class:  2, CF:0.0595436, Len:  5, Fitness_tra: 0
Rule 61: 8241b, Class:  2, CF:0.150771, Len:  5, Fitness_tra: 0
Rule 62: 31483, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 9bb85, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: 32214, Class:  1, CF:0.868939, Len:  5, Fitness_tra: 0
Rule 66: 15442, Class:  1, CF:0.964064, Len:  5, Fitness_tra: 0
Rule 67: dc7b4, Class:  2, CF:0.81573, Len:  5, Fitness_tra: 0
Rule 68: 23e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 95127, Class:  1, CF:0.988724, Len:  5, Fitness_tra: 0
Rule 70: 1ec44, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 19512, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 121cb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: 11c21, Class:  1, CF:0.953908, Len:  5, Fitness_tra: 0
Rule 74: 581b2, Class:  2, CF:0.508329, Len:  5, Fitness_tra: 0
Rule 75: 11241, Class:  0, CF:0.0430286, Len:  5, Fitness_tra: 0
Rule 76: 16511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 51241, Class:  0, CF:0.786033, Len:  5, Fitness_tra: 0
Rule 78: 52141, Class:  0, CF:0.534769, Len:  5, Fitness_tra: 0
Rule 79: 11781, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 32b14, Class:  1, CF:0.197719, Len:  5, Fitness_tra: 0
Rule 81: 98141, Class:  1, CF:0.598387, Len:  5, Fitness_tra: 0
Rule 82: 11812, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: c31b7, Class:  0, CF:0.762913, Len:  5, Fitness_tra: 1
Rule 84: d14b4, Class:  0, CF:0.939524, Len:  5, Fitness_tra: 4
Rule 85: 2a574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: d5114, Class:  1, CF:0.663174, Len:  5, Fitness_tra: 0
Rule 87: 1d441, Class:  1, CF:0.982657, Len:  5, Fitness_tra: 0
Rule 88: 2191b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 89: 11144, Class:  0, CF:0.921003, Len:  5, Fitness_tra: 1
Rule 90: 98124, Class:  2, CF:0.00157419, Len:  5, Fitness_tra: 0
Rule 91: 32a61, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 8317b, Class:  0, CF:0.942988, Len:  5, Fitness_tra: 2
Rule 93: 11c21, Class:  1, CF:0.953908, Len:  0, Fitness_tra: 0
Rule 94: 811b1, Class:  0, CF:0.693523, Len:  5, Fitness_tra: -23
Rule 95: d5544, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 96: 5511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 39668, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5171b, Class:  0, CF:0.432818, Len:  5, Fitness_tra: -1
Rule 99: dccb1, Class:  1, CF:0.795093, Len:  5, Fitness_tra: 0
Rule100: 4b526, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.7654
------Result------
Miss_rate(tra)	:58.7654
Miss_rate(tst)	:71.4286
ARL				:4.95181

------Generation 10------
Rule  1: 83171, Class:  0, CF:0.872545, Len:  5, Fitness_tra: 16
Rule  2: 28411, Class:  1, CF:0.764785, Len:  5, Fitness_tra: 34
Rule  3: 811b7, Class:  0, CF:0.907939, Len:  5, Fitness_tra: 32
Rule  4: 32711, Class:  1, CF:0.919233, Len:  5, Fitness_tra: 21
Rule  5: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 16
Rule  6: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 14
Rule  7: c3112, Class:  0, CF:0.535231, Len:  5, Fitness_tra: 6
Rule  8: 111b4, Class:  0, CF:0.892082, Len:  5, Fitness_tra: 1
Rule  9: 51122, Class:  0, CF:0.98818, Len:  5, Fitness_tra: 5
Rule 10: 5171c, Class:  0, CF:0.998413, Len:  5, Fitness_tra: 2
Rule 11: 41127, Class:  0, CF:0.915077, Len:  5, Fitness_tra: 3
Rule 12: 141b2, Class:  0, CF:0.805284, Len:  5, Fitness_tra: 1
Rule 13: 11344, Class:  0, CF:0.929306, Len:  5, Fitness_tra: 0
Rule 14: 52b41, Class:  0, CF:0.248656, Len:  5, Fitness_tra: 0
Rule 15: de2b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 11827, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 15127, Class:  1, CF:0.864911, Len:  5, Fitness_tra: 0
Rule 18: 321b4, Class:  1, CF:0.0283128, Len:  5, Fitness_tra: 0
Rule 19: 5d11b, Class:  1, CF:0.711746, Len:  5, Fitness_tra: 0
Rule 20: e4721, Class:  0, CF:0.579263, Len:  5, Fitness_tra: 0
Rule 21: 73112, Class:  0, CF:0.236917, Len:  5, Fitness_tra: 0
Rule 22: 18c2b, Class:  1, CF:0.970051, Len:  5, Fitness_tra: 0
Rule 23: 11374, Class:  0, CF:0.919648, Len:  5, Fitness_tra: 0
Rule 24: 35c4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: c3842, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 18814, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 31718, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 11111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 155b4, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 5e247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 1317b, Class:  0, CF:0.897024, Len:  5, Fitness_tra: 0
Rule 32: 91c22, Class:  1, CF:0.669296, Len:  5, Fitness_tra: 0
Rule 33: 3722d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51222, Class:  0, CF:0.974082, Len:  5, Fitness_tra: 0
Rule 35: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 0
Rule 36: 63521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3d421, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 91422, Class:  0, CF:0.987528, Len:  5, Fitness_tra: 0
Rule 39: 124c1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 11711, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 98272, Class:  1, CF:0.417171, Len:  5, Fitness_tra: 0
Rule 42: 11722, Class:  0, CF:0.912589, Len:  5, Fitness_tra: 0
Rule 43: 14221, Class:  1, CF:0.0871377, Len:  5, Fitness_tra: 0
Rule 44: 91278, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: c9824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 52121, Class:  0, CF:0.546518, Len:  5, Fitness_tra: 0
Rule 47: 29d7b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: d5544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 1c7b8, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 19114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 34442, Class:  1, CF:0.232072, Len:  5, Fitness_tra: 0
Rule 53: 3d41b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 1c212, Class:  2, CF:0.284813, Len:  5, Fitness_tra: 0
Rule 55: 11252, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 39222, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 13942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1c127, Class:  2, CF:0.778582, Len:  5, Fitness_tra: 0
Rule 59: 51274, Class:  0, CF:0.956875, Len:  5, Fitness_tra: 0
Rule 60: 37222, Class:  2, CF:0.0595436, Len:  5, Fitness_tra: 0
Rule 61: 8241b, Class:  2, CF:0.150771, Len:  5, Fitness_tra: 0
Rule 62: 31483, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 9bb85, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: 32214, Class:  1, CF:0.868939, Len:  5, Fitness_tra: 0
Rule 66: 15442, Class:  1, CF:0.964064, Len:  5, Fitness_tra: 0
Rule 67: dc7b4, Class:  2, CF:0.81573, Len:  5, Fitness_tra: 0
Rule 68: 23e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 95127, Class:  1, CF:0.988724, Len:  5, Fitness_tra: 0
Rule 70: 1ec44, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 19512, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 121cb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: 11c21, Class:  1, CF:0.953908, Len:  5, Fitness_tra: 0
Rule 74: 581b2, Class:  2, CF:0.508329, Len:  5, Fitness_tra: 0
Rule 75: 11241, Class:  0, CF:0.0430286, Len:  5, Fitness_tra: 0
Rule 76: 16511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 51241, Class:  0, CF:0.786033, Len:  5, Fitness_tra: 0
Rule 78: 52141, Class:  0, CF:0.534769, Len:  5, Fitness_tra: 0
Rule 79: 11781, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 32b14, Class:  1, CF:0.197719, Len:  5, Fitness_tra: 0
Rule 81: 98141, Class:  1, CF:0.598387, Len:  5, Fitness_tra: 0
Rule 82: 11812, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: c31b7, Class:  0, CF:0.762913, Len:  5, Fitness_tra: 1
Rule 84: d14b4, Class:  0, CF:0.939524, Len:  5, Fitness_tra: 4
Rule 85: 2a574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: d5114, Class:  1, CF:0.663174, Len:  5, Fitness_tra: 0
Rule 87: 1d441, Class:  1, CF:0.982657, Len:  5, Fitness_tra: 0
Rule 88: 2191b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 89: 11144, Class:  0, CF:0.921003, Len:  5, Fitness_tra: 1
Rule 90: 98124, Class:  2, CF:0.00157419, Len:  5, Fitness_tra: 0
Rule 91: 32a61, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 8317b, Class:  0, CF:0.942988, Len:  5, Fitness_tra: 2
Rule 93: 11c21, Class:  1, CF:0.953908, Len:  0, Fitness_tra: 0
Rule 94: 811b1, Class:  0, CF:0.693523, Len:  5, Fitness_tra: -23
Rule 95: d5544, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 96: 5511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 39668, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5171b, Class:  0, CF:0.432818, Len:  5, Fitness_tra: -1
Rule 99: dccb1, Class:  1, CF:0.795093, Len:  5, Fitness_tra: 0
Rule100: 4b526, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.7654
------Result------
Miss_rate(tra)	:58.7654
Miss_rate(tst)	:71.4286
ARL				:4.95181

------Generation 20------
Rule  1: cd411, Class:  1, CF:0.982136, Len:  5, Fitness_tra: 52
Rule  2: 541a1, Class:  2, CF:0.218482, Len:  5, Fitness_tra: 51
Rule  3: 83171, Class:  0, CF:0.872545, Len:  5, Fitness_tra: 29
Rule  4: 811b7, Class:  0, CF:0.907939, Len:  5, Fitness_tra: 30
Rule  5: c7107, Class:  2, CF:0.138215, Len:  4, Fitness_tra: 24
Rule  6: 01018, Class:  0, CF:  1, Len:  3, Fitness_tra: 24
Rule  7: 32711, Class:  1, CF:0.919233, Len:  5, Fitness_tra: 30
Rule  8: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 15
Rule  9: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 14
Rule 10: 91112, Class:  0, CF:0.923582, Len:  5, Fitness_tra: 4
Rule 11: c3112, Class:  0, CF:0.535231, Len:  5, Fitness_tra: 0
Rule 12: 41127, Class:  0, CF:0.915077, Len:  5, Fitness_tra: 2
Rule 13: 51122, Class:  0, CF:0.98818, Len:  5, Fitness_tra: 0
Rule 14: 8317b, Class:  0, CF:0.942988, Len:  5, Fitness_tra: 2
Rule 15: c31b7, Class:  0, CF:0.762913, Len:  5, Fitness_tra: 0
Rule 16: 11144, Class:  0, CF:0.921003, Len:  5, Fitness_tra: 0
Rule 17: 5171c, Class:  0, CF:0.998413, Len:  5, Fitness_tra: 0
Rule 18: 52b41, Class:  0, CF:0.248656, Len:  5, Fitness_tra: 0
Rule 19: 5d11b, Class:  1, CF:0.711746, Len:  5, Fitness_tra: 0
Rule 20: e4721, Class:  0, CF:0.579263, Len:  5, Fitness_tra: 0
Rule 21: 73112, Class:  0, CF:0.236917, Len:  5, Fitness_tra: 0
Rule 22: 18c2b, Class:  1, CF:0.970051, Len:  5, Fitness_tra: 0
Rule 23: 11374, Class:  0, CF:0.919648, Len:  5, Fitness_tra: 0
Rule 24: 35c4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: c3842, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 18814, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 31718, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 11111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 155b4, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 5e247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 1317b, Class:  0, CF:0.897024, Len:  5, Fitness_tra: 0
Rule 32: 91c22, Class:  1, CF:0.669296, Len:  5, Fitness_tra: 0
Rule 33: 3722d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51222, Class:  0, CF:0.974082, Len:  5, Fitness_tra: 0
Rule 35: 32211, Class:  1, CF:0.978578, Len:  5, Fitness_tra: 0
Rule 36: 63521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3d421, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 91422, Class:  0, CF:0.987528, Len:  5, Fitness_tra: 0
Rule 39: 124c1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 11711, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 98272, Class:  1, CF:0.417171, Len:  5, Fitness_tra: 0
Rule 42: 11722, Class:  0, CF:0.912589, Len:  5, Fitness_tra: 0
Rule 43: 14221, Class:  1, CF:0.0871377, Len:  5, Fitness_tra: 0
Rule 44: 91278, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: c9824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 52121, Class:  0, CF:0.546518, Len:  5, Fitness_tra: 0
Rule 47: 29d7b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: d5544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 1c7b8, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 19114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 34442, Class:  1, CF:0.232072, Len:  5, Fitness_tra: 0
Rule 53: 3d41b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 1c212, Class:  2, CF:0.284813, Len:  5, Fitness_tra: 0
Rule 55: 11252, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 39222, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 13942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1c127, Class:  2, CF:0.778582, Len:  5, Fitness_tra: 0
Rule 59: 51274, Class:  0, CF:0.956875, Len:  5, Fitness_tra: 0
Rule 60: 37222, Class:  2, CF:0.0595436, Len:  5, Fitness_tra: 0
Rule 61: 8241b, Class:  2, CF:0.150771, Len:  5, Fitness_tra: 0
Rule 62: 31483, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 9bb85, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: 32214, Class:  1, CF:0.868939, Len:  5, Fitness_tra: 0
