------Generation 0------
Rule  1: 000440000d00007000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000440000d00007000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9162441291933c1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 11d28415128182c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11814b2d8881122121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 136122121316311111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 116112373331321121, Class:  1, CF:0.366201, Len: 18, Fitness_tra: 0
Rule 16: c1872411211c114111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 152244138521254272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 211714c94118114811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 02000ccd4044800000, Class:  2, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 30d00b0050000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8131141d191c142115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 25511b258218511122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000007e007b000400, Class:  0, CF:0.126472, Len:  5, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1331411169e1111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000c005000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1392111191919c2212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1884142142c4821b42, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000008000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 511221732177221851, Class:  2, CF:0.810709, Len: 18, Fitness_tra: 0
Rule 37: 00400000000000000b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e36111326e93382124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1852142d8114cc11d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 44: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0c0000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 40000000000000000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 91114c9411d1141223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 513c825185c4241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3e900b003300e000dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3311421415191411d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000000000a000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 521114181152141139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000004000005000, Class:  1, CF:0.246582, Len:  2, Fitness_tra: -4
Rule 55: 112412292122412211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c004007eb077000000, Class:  0, CF:0.84992, Len:  7, Fitness_tra: 0
Rule 57: 815227118821527271, Class:  3, CF:0.174985, Len: 18, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 113111925113141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000b00be00e000000, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000002000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000005000000700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: d005008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 255227c58584214112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 91614432e331682111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 25141781411c8c4144, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 72: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000e03000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1de114cd41c8121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000002000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 113511e131d5321213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00007000d020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00d0000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 815112214821811259, Class:  1, CF:0.236114, Len: 18, Fitness_tra: -3
Rule 83: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000d00d00030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d15581218d58d41899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 500040000000000002, Class:  1, CF:0.146676, Len:  3, Fitness_tra: -17
Rule 89: 003080004040000000, Class:  2, CF:0.464592, Len:  4, Fitness_tra: -1
Rule 90: 0000b00be00e000000, Class:  2, CF:  1, Len:  0, Fitness_tra: 0
Rule 91: 033004141019540100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: d20204052020000710, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 93: 03604000629308802c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 01010000003112e110, Class:  3, CF:0.343682, Len:  9, Fitness_tra: 0
Rule 95: c12412292113412111, Class:  0, CF:0.830455, Len: 18, Fitness_tra: 8
Rule 96: 0009000e000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000c00003, Class:  2, CF:0.474815, Len:  2, Fitness_tra: 18
Rule 98: 1031001109e1110021, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 020000000400000600, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1152218733343c2421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.7385
------Result------
Miss_rate(tra)	:58.7385
Miss_rate(tst)	:61.1765
ARL				:8.16

------Generation 3------
Rule  1: 000000700500000000, Class:  0, CF:0.319668, Len:  2, Fitness_tra: -2
Rule  2: 0000000020000b0003, Class:  2, CF:0.457917, Len:  3, Fitness_tra: -41
Rule  3: 00e00b070000000008, Class:  1, CF:0.187121, Len:  4, Fitness_tra: 3
Rule  4: 0000007e007b000000, Class:  0, CF:0.247822, Len:  4, Fitness_tra: 13
Rule  5: 040000000400000900, Class:  3, CF:0.031422, Len:  3, Fitness_tra: 1
Rule  6: 082000000800080000, Class:  0, CF:0.45922, Len:  4, Fitness_tra: 2
Rule  7: 000000000000085000, Class:  1, CF:0.183604, Len:  2, Fitness_tra: 1
Rule  8: c152b18141c1811224, Class:  3, CF:0.220532, Len: 18, Fitness_tra: -2
Rule  9: 000440000d00007000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9162441291933c1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 11d28415128182c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11814b2d8881122121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 136122121316311111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 116112373331321121, Class:  1, CF:0.366201, Len: 18, Fitness_tra: 0
Rule 16: c1872411211c114111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 152244138521254272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 211714c94118114811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 02000ccd4044800000, Class:  2, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 30d00b0050000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8131141d191c142115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 25511b258218511122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000007e007b000400, Class:  0, CF:0.126472, Len:  5, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1331411169e1111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000c005000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1392111191919c2212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1884142142c4821b42, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000008000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 511221732177221851, Class:  2, CF:0.810709, Len: 18, Fitness_tra: 0
Rule 37: 00400000000000000b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e36111326e93382124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1852142d8114cc11d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 44: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0c0000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 40000000000000000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 91114c9411d1141223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 513c825185c4241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3e900b003300e000dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3311421415191411d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000000000a000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 521114181152141139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000004000005000, Class:  1, CF:0.246582, Len:  2, Fitness_tra: -4
Rule 55: 112412292122412211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c004007eb077000000, Class:  0, CF:0.84992, Len:  7, Fitness_tra: 0
Rule 57: 815227118821527271, Class:  3, CF:0.174985, Len: 18, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 113111925113141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000b00be00e000000, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000002000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000005000000700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: d005008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 255227c58584214112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 91614432e331682111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 25141781411c8c4144, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 72: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000e03000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1de114cd41c8121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000002000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 113511e131d5321213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00007000d020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00d0000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 815112214821811259, Class:  1, CF:0.236114, Len: 18, Fitness_tra: -3
Rule 83: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000d00d00030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d15581218d58d41899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 500040000000000002, Class:  1, CF:0.146676, Len:  3, Fitness_tra: -17
Rule 89: 003080004040000000, Class:  2, CF:0.464592, Len:  4, Fitness_tra: -1
Rule 90: 0000b00be00e000000, Class:  2, CF:  1, Len:  0, Fitness_tra: 0
Rule 91: 033004141019540100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: d20204052020000710, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 93: 03604000629308802c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 01010000003112e110, Class:  3, CF:0.343682, Len:  9, Fitness_tra: 0
Rule 95: c12412292113412111, Class:  0, CF:0.830455, Len: 18, Fitness_tra: 8
Rule 96: 0009000e000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000c00003, Class:  2, CF:0.474815, Len:  2, Fitness_tra: 18
Rule 98: 1031001109e1110021, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 020000000400000600, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1152218733343c2421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.7385
------Result------
Miss_rate(tra)	:58.7385
Miss_rate(tst)	:61.1765
ARL				:8.16

------Generation 4------
Rule  1: 000000700500000000, Class:  0, CF:0.319668, Len:  2, Fitness_tra: -2
Rule  2: 0000000020000b0003, Class:  2, CF:0.457917, Len:  3, Fitness_tra: -41
Rule  3: 00e00b070000000008, Class:  1, CF:0.187121, Len:  4, Fitness_tra: 3
Rule  4: 0000007e007b000000, Class:  0, CF:0.247822, Len:  4, Fitness_tra: 13
Rule  5: 040000000400000900, Class:  3, CF:0.031422, Len:  3, Fitness_tra: 1
Rule  6: 082000000800080000, Class:  0, CF:0.45922, Len:  4, Fitness_tra: 2
Rule  7: 000000000000085000, Class:  1, CF:0.183604, Len:  2, Fitness_tra: 1
Rule  8: c152b18141c1811224, Class:  3, CF:0.220532, Len: 18, Fitness_tra: -2
Rule  9: 000440000d00007000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9162441291933c1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 11d28415128182c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11814b2d8881122121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 136122121316311111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 116112373331321121, Class:  1, CF:0.366201, Len: 18, Fitness_tra: 0
Rule 16: c1872411211c114111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 152244138521254272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 211714c94118114811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 02000ccd4044800000, Class:  2, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 30d00b0050000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8131141d191c142115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 25511b258218511122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000007e007b000400, Class:  0, CF:0.126472, Len:  5, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1331411169e1111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000c005000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1392111191919c2212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1884142142c4821b42, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000008000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 511221732177221851, Class:  2, CF:0.810709, Len: 18, Fitness_tra: 0
Rule 37: 00400000000000000b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e36111326e93382124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1852142d8114cc11d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 44: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0c0000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 40000000000000000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 91114c9411d1141223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 513c825185c4241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3e900b003300e000dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3311421415191411d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000000000a000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 521114181152141139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000004000005000, Class:  1, CF:0.246582, Len:  2, Fitness_tra: -4
Rule 55: 112412292122412211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c004007eb077000000, Class:  0, CF:0.84992, Len:  7, Fitness_tra: 0
Rule 57: 815227118821527271, Class:  3, CF:0.174985, Len: 18, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 113111925113141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000b00be00e000000, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000002000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000005000000700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: d005008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 255227c58584214112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 91614432e331682111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 25141781411c8c4144, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 72: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000e03000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1de114cd41c8121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000002000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 113511e131d5321213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00007000d020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00d0000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 815112214821811259, Class:  1, CF:0.236114, Len: 18, Fitness_tra: -3
Rule 83: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000d00d00030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d15581218d58d41899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 500040000000000002, Class:  1, CF:0.146676, Len:  3, Fitness_tra: -17
Rule 89: 003080004040000000, Class:  2, CF:0.464592, Len:  4, Fitness_tra: -1
Rule 90: 0000b00be00e000000, Class:  2, CF:  1, Len:  0, Fitness_tra: 0
Rule 91: 033004141019540100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: d20204052020000710, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 93: 03604000629308802c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 01010000003112e110, Class:  3, CF:0.343682, Len:  9, Fitness_tra: 0
Rule 95: c12412292113412111, Class:  0, CF:0.830455, Len: 18, Fitness_tra: 8
Rule 96: 0009000e000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000c00003, Class:  2, CF:0.474815, Len:  2, Fitness_tra: 18
Rule 98: 1031001109e1110021, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 020000000400000600, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1152218733343c2421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.7385
------Result------
Miss_rate(tra)	:58.7385
Miss_rate(tst)	:61.1765
ARL				:8.16

------Generation 5------
Rule  1: 000000700500000000, Class:  0, CF:0.319668, Len:  2, Fitness_tra: -2
Rule  2: 0000000020000b0003, Class:  2, CF:0.457917, Len:  3, Fitness_tra: -41
Rule  3: 00e00b070000000008, Class:  1, CF:0.187121, Len:  4, Fitness_tra: 3
Rule  4: 0000007e007b000000, Class:  0, CF:0.247822, Len:  4, Fitness_tra: 13
